id,loan_status,probability
58645,1,0.9899
58646,0,0.0189
58647,0,0.494
58648,0,0.0133
58649,0,0.0517
58650,1,0.9386
58651,0,0.0038
58652,0,0.01
58653,0,0.188
58654,0,0.0188
58655,0,0.104
58656,0,0.0792
58657,0,0.0127
58658,0,0.0088
58659,0,0.0206
58660,0,0.0721
58661,0,0.0121
58662,0,0.0031
58663,0,0.0424
58664,0,0.0036
58665,0,0.0223
58666,0,0.0102
58667,0,0.0035
58668,0,0.0088
58669,0,0.0079
58670,0,0.0015
58671,0,0.2055
58672,0,0.0029
58673,1,0.8587
58674,0,0.0008
58675,0,0.0126
58676,0,0.2528
58677,0,0.0332
58678,0,0.0051
58679,0,0.2371
58680,1,0.9716
58681,0,0.0264
58682,0,0.0019
58683,0,0.0113
58684,0,0.202
58685,0,0.1037
58686,0,0.0245
58687,0,0.3193
58688,0,0.0258
58689,0,0.244
58690,0,0.001
58691,0,0.0177
58692,0,0.0257
58693,0,0.0114
58694,0,0.0816
58695,1,0.9314
58696,0,0.0179
58697,0,0.044
58698,0,0.0186
58699,0,0.0118
58700,0,0.0079
58701,0,0.0113
58702,0,0.0225
58703,0,0.1951
58704,0,0.4805
58705,0,0.0939
58706,0,0.0409
58707,0,0.0158
58708,0,0.034
58709,1,0.9318
58710,0,0.0473
58711,1,0.965
58712,0,0.0687
58713,0,0.0061
58714,0,0.0267
58715,0,0.0035
58716,0,0.2048
58717,0,0.0217
58718,0,0.0551
58719,0,0.0102
58720,0,0.0008
58721,0,0.0746
58722,0,0.0746
58723,0,0.0159
58724,0,0.0171
58725,0,0.0161
58726,0,0.0121
58727,0,0.0881
58728,0,0.1291
58729,0,0.0173
58730,0,0.009
58731,0,0.0158
58732,0,0.1786
58733,0,0.0005
58734,0,0.013
58735,0,0.0176
58736,0,0.0643
58737,0,0.0313
58738,1,0.9813
58739,0,0.0606
58740,1,0.9031
58741,0,0.034
58742,0,0.0094
58743,0,0.0241
58744,0,0.0059
58745,0,0.0071
58746,0,0.0576
58747,0,0.0056
58748,0,0.0169
58749,0,0.0244
58750,0,0.014
58751,0,0.0455
58752,1,0.9099
58753,0,0.0029
58754,0,0.0735
58755,0,0.095
58756,0,0.0076
58757,0,0.0536
58758,0,0.0082
58759,0,0.0016
58760,0,0.0011
58761,0,0.0131
58762,0,0.0038
58763,1,0.9516
58764,0,0.0017
58765,0,0.0249
58766,0,0.0113
58767,0,0.022
58768,1,0.935
58769,0,0.0039
58770,0,0.0286
58771,0,0.0568
58772,0,0.0239
58773,0,0.0213
58774,0,0.0135
58775,1,0.9604
58776,0,0.2266
58777,0,0.0107
58778,0,0.0127
58779,0,0.0331
58780,0,0.0179
58781,0,0.0166
58782,0,0.0703
58783,0,0.0286
58784,0,0.0076
58785,0,0.0057
58786,0,0.0597
58787,0,0.0572
58788,0,0.1412
58789,0,0.0586
